"Type","Price.information.classification","Area","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","District","Nearest.station...Name","Nearest.station...Distance","Total.transaction.value","Area...","Land...Price.per.m2","Land...Shape","Frontage","Building...Total.floor.area","Building...Construction.year","Building...Structure","Use","Purpose.of.use","Frontage.road...Direction","Frontage.road...Width","Frontage.road...Type","City.planning","Building.coverage.ratio","Floor.area.ratio","Transaction.timing","Transaction.factors"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Midoricho","Haijima","16",4.7e+07,"120",NA,"Irregular Shaped","7.1","90","2025","W","House","House","Southeast",5,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Midoricho","Haijima","15",3.9e+07,"115",NA,"&quot;Flag-shaped&quot; etc.","2.6","90","2025","W","House","House","Southeast",5,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Midoricho","Haijima","9",3.8e+07,"145",NA,"Semi-trapezoidal Shaped","16.9","95","2009","LS","House","House","West",46.3,"National Road","Neighborhood Comm",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Mihoricho","Seibu Tachikawa","15",3.4e+07,"100",NA,"Semi-rectangular Shaped","7","80","2024","W","House","House","Northwest",5,"Private Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Mihoricho","Haijima","11",1e+08,"125",NA,"Semi-trapezoidal Shaped","10","250","2024","W","Housing Complex","House","West",7,"City Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13207,"Tokyo","Akishima City","Miyazawacho","Akishima","14",1e+08,"240",NA,"Semi-rectangular Shaped","17.5","360","1992","RC","Housing Complex, Office, Warehouse","","East",16,"Tokyo Metropolitan Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Miyazawacho","Akishima","22",3.8e+07,"100",NA,"Semi-trapezoidal Shaped","6.9","95","2025","W","House","House","South",29,"Tokyo Metropolitan Road","Quasi-Res",60,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Miyazawacho","Akishima","19",9.9e+07,"820",NA,"Semi-trapezoidal Shaped","21","310","1987","S","Housing Complex","House","South",4,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Miyazawacho","Nakagami","26",2.1e+07,"100",NA,"Rectangular Shaped","8.2","90","1995","","","House","East",6,"City Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Musashino","Seibu Tachikawa","13",3.5e+07,"80",NA,"Rectangular Shaped","6.7","90","2025","W","House","House","Southwest",12.5,"City Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Mokusenomori","Higashi Nakagami","14",8e+07,"115",NA,"Rectangular Shaped","9.3","95","2025","LS","House","House","South",6,"Private Road","2 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Mokusenomori","Higashi Nakagami","11",8.3e+07,"115",NA,"Semi-rectangular Shaped","7.4","105","2024","LS","House","House","South",6,"City Road","2 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Mokusenomori","Higashi Nakagami","12",8.1e+07,"115",NA,"Rectangular Shaped","12.4","105","2024","LS","House","House","East",6,"City Road","2 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Mokusenomori","Higashi Nakagami","12",7e+07,"115",NA,"Rectangular Shaped","11.6","100","2024","LS","House","House","North",12,"City Road","2 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Mokusenomori","Higashi Nakagami","12",7.9e+07,"115",NA,"Rectangular Shaped","9.5","100","2020","LS","House","House","South",6,"City Road","2 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Mokusenomori","Higashi Nakagami","12",7.6e+07,"115",NA,"Rectangular Shaped","9.3","100","2024","LS","House","House","North",6,"City Road","2 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Mokusenomori","Higashi Nakagami","13",8.5e+07,"115",NA,"Rectangular Shaped","9.5","105","2024","LS","House","House","South",6,"City Road","2 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Mokusenomori","Higashi Nakagami","13",7.5e+07,"115",NA,"Semi-square Shaped","10.9","105","2024","LS","House","House","West",6,"City Road","2 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Mokusenomori","Higashi Nakagami","10",7.3e+07,"115",NA,"Semi-square Shaped","11.2","105","2024","LS","House","House","East",6,"Road","2 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13207,"Tokyo","Akishima City","Mokusenomori","Higashi Nakagami","13",8.4e+07,"115",NA,"Semi-rectangular Shaped","9.5","105","2024","LS","House","House","South",6,"City Road","2 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Midorigaoka","Sengawa","15",7e+07,"135",NA,"","","110","2003","W","","","East",6.5,"Public Road","1 Exc Low",50,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Chofugaoka","Chofu(Tokyo)","15",1.4e+07,"80",NA,"","","65","1976","W","","","",NA,"","1 Exc Low",50,100,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Chofugaoka","Chofu(Tokyo)","15",6e+07,"110",NA,"","","90","2015","W","","","North",4,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Nishitsutsujigaoka","Tsutsujigaoka(Tokyo)","15",5.8e+07,"115",NA,"","","90","2018","W","","","East",5.9,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Nishitsutsujigaoka","Tsutsujigaoka(Tokyo)","15",4.7e+07,"90",NA,"","","70","2018","W","","","",4,"","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Fujimicho","Nishi Chofu","20",5.5e+07,"125",NA,"","","100","2007","W","","","Northeast",5,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Fuda","Chofu(Tokyo)","15",7.2e+07,"115",NA,"","","90","2020","W","","","North",4.5,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kokuryocho","Kokuryo","5",1.6e+08,"280",NA,"","","185","1975","RC","","","Northwest",5.6,"Private Road","1 Exc Med",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kokuryocho","Kokuryo","10",6.9e+07,"130",NA,"","","100","2025","W","","","",NA,"","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kokuryocho","Kokuryo","15",3.2e+07,"85",NA,"","","75","1977","W","","","North",5.7,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Sazumachi","Kokuryo","15",3e+07,"75",NA,"","","60","2016","W","","","Southeast",4,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Sazumachi","Fuda","20",6.9e+07,"145",NA,"","","110","2024","W","","","",NA,"","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Sazumachi","Fuda","15",5.9e+07,"120",NA,"","","95","2011","W","","","Southeast",5,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Jindaijikitamachi","Chofu(Tokyo)","",4.2e+07,"125",NA,"","","105","1997","W","","","Southeast",4.5,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Jindaijihigashimachi","Mitaka","",4.6e+07,"110",NA,"","","90","2013","W","","","North",NA,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Jindaijimotomachi","Mitaka","",4.8e+07,"100",NA,"","","80","2008","W","","","Southwest",5,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Tamagawa","Keio Tamagawa","10",5.7e+07,"125",NA,"","","75","2024","W","","","Northeast",4,"Public Road","1 Exc Low",30,60,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Tamagawa","Keio Tamagawa","10",2.9e+07,"85",NA,"","","80","1996","W","","","Northwest",6.3,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Tobitakyu","Tobitakyu","15",5e+07,"105",NA,"","","85","2022","W","","","Southeast",5,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Irimacho","Seijogakuen Mae","20",6.3e+07,"215",NA,"","","145","1977","W","","","North",4,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Irimacho","Tsutsujigaoka(Tokyo)","20",4.3e+07,"160",NA,"","","80","1977","W","","","Northeast",4.3,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kojimacho","Chofu(Tokyo)","10",1.8e+08,"185",NA,"","","300","2010","LS","","","South",21.5,"Public Road","Neighborhood Comm",90,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Jindaijiminamimachi","Shibasaki","20",4.3e+07,"145",NA,"","","120","1993","W","","","",4,"","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kikunodai","Shibasaki","5",5.5e+07,"95",NA,"","","75","2018","W","","","West",4,"Private Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kikunodai","Shibasaki","10",7.7e+07,"105",NA,"","","85","2025","W","","","South",6.5,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kikunodai","Shibasaki","10",4.8e+07,"90",NA,"","","100","1995","W","","","Southeast",6,"Public Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kikunodai","Tsutsujigaoka(Tokyo)","10",7.8e+07,"130",NA,"","","100","2025","W","","","",NA,"","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Midorigaoka","Sengawa","20",2.1e+07,"70",NA,"","","65","1977","W","","","Southwest",6.6,"Public Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Midorigaoka","Sengawa","15",7e+07,"110",NA,"","","90","2020","W","","","North",4,"Private Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kikunodai","Shibasaki","10",7.3e+07,"105",NA,"","","85","2025","W","","","South",6.5,"Public Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kikunodai","Shibasaki","10",7e+07,"120",NA,"","","100","2014","W","","","Southeast",5,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kikunodai","Shibasaki","5",7.2e+07,"100",NA,"","","95","2025","W","","","Northwest",4,"Private Road","1 Exc Low",50,100,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kikunodai","Shibasaki","10",5.9e+07,"80",NA,"","","65","2025","W","","","",NA,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kikunodai","Shibasaki","5",2.7e+07,"40",NA,"","","85","1989","W","","","Southeast",5.3,"Public Road","Neighborhood Comm",80,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Kikunodai","Tsutsujigaoka(Tokyo)","10",4.6e+07,"85",NA,"","","70","2025","W","","","Northwest",4,"Private Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Midorigaoka","Sengawa","15",7e+07,"115",NA,"","","90","2025","W","","","",NA,"","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Shibasaki","Shibasaki","10",5.7e+07,"120",NA,"","","90","2020","W","","","East",4.5,"","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Shibasaki","Shibasaki","10",5.9e+07,"100",NA,"","","80","2001","LS","","","Northeast",5.8,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Shibasaki","Tsutsujigaoka(Tokyo)","15",7.4e+07,"120",NA,"","","105","2022","W","","","",NA,"Public Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Shibasaki","Shibasaki","10",3.7e+07,"50",NA,"","","80","2002","W","","","Southwest",4,"Public Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13208,"Tokyo","Chofu City","Somechi","Chofu(Tokyo)","20",6e+07,"130",NA,"","","105","2024","W","","","Northeast",5.6,"Public Road","1 Exc Low",40,80,"1st quarter 2025",""
